Cards Suited Num pla. Prob
2 2 0 2 0.5082
2 2 0 3 0.315
2 2 0 4 0.2188
2 2 0 5 0.17825
2 2 0 6 0.14735
2 2 0 7 0.1351
2 2 0 8 0.1397
2 2 0 9 0.12975
2 2 0 10 0.12125
2 3 0 2 0.3315
2 3 1 2 0.37015
2 3 0 3 0.2082
2 3 1 3 0.24995
2 3 0 4 0.14205
2 3 1 4 0.18645
2 3 0 5 0.11015
2 3 1 5 0.1511
2 3 0 6 0.08635
2 3 1 6 0.12895
2 3 0 7 0.07495
2 3 1 7 0.1163
2 3 0 8 0.06885
2 3 1 8 0.11015
2 3 0 9 0.0627
2 3 1 9 0.10455
2 3 0 10 0.06085
2 3 1 10 0.09855
2 4 0 2 0.3301
2 4 1 2 0.36755
2 4 0 3 0.2085
2 4 1 3 0.25525
2 4 0 4 0.1601
2 4 1 4 0.19625
2 4 0 5 0.1195
2 4 1 5 0.17215
2 4 0 6 0.09195
2 4 1 6 0.13895
2 4 0 7 0.0809
2 4 1 7 0.1163
2 4 0 8 0.0725
2 4 1 8 0.11295
2 4 0 9 0.0677
2 4 1 9 0.10765
2 4 0 10 0.06415
2 4 1 10 0.1035
2 5 0 2 0.3406
2 5 1 2 0.38455
2 5 0 3 0.2167
2 5 1 3 0.2586
2 5 0 4 0.16355
2 5 1 4 0.21115
2 5 0 5 0.12665
2 5 1 5 0.16725
2 5 0 6 0.1009
2 5 1 6 0.1422
2 5 0 7 0.0848
2 5 1 7 0.11825
2 5 0 8 0.07675
2 5 1 8 0.1113
2 5 0 9 0.0714
2 5 1 9 0.1116
2 5 0 10 0.0704
2 5 1 10 0.10175
2 6 0 2 0.33535
2 6 1 2 0.37365
2 6 0 3 0.20505
2 6 1 3 0.249
2 6 0 4 0.1466
2 6 1 4 0.19685
2 6 0 5 0.11395
2 6 1 5 0.15755
2 6 0 6 0.09585
2 6 1 6 0.14025
2 6 0 7 0.0767
2 6 1 7 0.11435
2 6 0 8 0.0692
2 6 1 8 0.11065
2 6 0 9 0.06
2 6 1 9 0.102
2 6 0 10 0.0557
2 6 1 10 0.09595
2 7 0 2 0.3466
2 7 1 2 0.3716
2 7 0 3 0.20085
2 7 1 3 0.2447
2 7 0 4 0.14725
2 7 1 4 0.196
2 7 0 5 0.1116
2 7 1 5 0.1565
2 7 0 6 0.08725
2 7 1 6 0.12925
2 7 0 7 0.06565
2 7 1 7 0.11435
2 7 0 8 0.0617
2 7 1 8 0.09375
2 7 0 9 0.0578
2 7 1 9 0.0901
2 7 0 10 0.0531
2 7 1 10 0.09665
2 8 0 2 0.36155
2 8 1 2 0.3929
2 8 0 3 0.2138
2 8 1 3 0.26115
2 8 0 4 0.15235
2 8 1 4 0.19345
2 8 0 5 0.1126
2 8 1 5 0.15955
2 8 0 6 0.09435
2 8 1 6 0.13385
2 8 0 7 0.07595
2 8 1 7 0.118
2 8 0 8 0.0684
2 8 1 8 0.1068
2 8 0 9 0.05285
2 8 1 9 0.09185
2 8 0 10 0.05095
2 8 1 10 0.08945
2 9 0 2 0.38905
2 9 1 2 0.41905
2 9 0 3 0.23845
2 9 1 3 0.27085
2 9 0 4 0.1569
2 9 1 4 0.2044
2 9 0 5 0.12475
2 9 1 5 0.17045
2 9 0 6 0.10415
2 9 1 6 0.14115
2 9 0 7 0.08385
2 9 1 7 0.1255
2 9 0 8 0.06935
2 9 1 8 0.11085
2 9 0 9 0.0639
2 9 1 9 0.1036
2 9 0 10 0.0502
2 9 1 10 0.0936
2 10 0 2 0.4173
2 10 1 2 0.45105
2 10 0 3 0.24055
2 10 1 3 0.28545
2 10 0 4 0.16735
2 10 1 4 0.22165
2 10 0 5 0.12865
2 10 1 5 0.1776
2 10 0 6 0.10415
2 10 1 6 0.15325
2 10 0 7 0.08925
2 10 1 7 0.1277
2 10 0 8 0.08065
2 10 1 8 0.12155
2 10 0 9 0.06645
2 10 1 9 0.10545
2 10 0 10 0.0569
2 10 1 10 0.1009
2 11 0 2 0.44935
2 11 1 2 0.47555
2 11 0 3 0.2646
2 11 1 3 0.31225
2 11 0 4 0.18395
2 11 1 4 0.23155
2 11 0 5 0.14025
2 11 1 5 0.1818
2 11 0 6 0.11545
2 11 1 6 0.1547
2 11 0 7 0.1013
2 11 1 7 0.13615
2 11 0 8 0.0842
2 11 1 8 0.1291
2 11 0 9 0.0744
2 11 1 9 0.1175
2 11 0 10 0.05775
2 11 1 10 0.10695
2 12 0 2 0.4712
2 12 1 2 0.5086
